,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
3777,Ghosts From the Past: The 2nd Haunting,GFP2-EN089,Ultra Rare,"Mardel, Generaider Boss of Light",Monster,LIGHT,2400,2400,9.0,None,nan,Plant , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
3778,Generation Force,GENF-EN064,Common,Poseidon Wave,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3779,Duelist Revolution,DREV-EN031,Common,Amazoness Trainee,Monster,EARTH,1500,1300,4.0,None,nan,Warrior , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
3780,Elemental Energy,EEN-EN022,Rare,"Brron, Mad King of Dark World",Monster,DARK,1800,400,4.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3781,Legacy of Darkness,LOD-004,Common,Possessed Dark Soul,Monster,DARK,1200,800,3.0,None,nan,Fiend , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3782,Breakers of Shadow,BOSH-EN067,Super Rare,Twin Twisters,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
3783,Chaos Impact,CHIM-EN098,Ultra Rare,Striker Dragon,Monster,DARK,1000,None,,1,nan,Dragon , Link , Effect,None,Trigger, Ignition, Condition,,,,,,,, Limited 
3784,Cyberdark Impact,CDIP-EN045,Common,Mystical Wind Typhoon,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
3785,Burst of Destiny,BODE-EN013,Super Rare,Floowandereeze & Robina,Monster,WATER,600,1200,1.0,None,nan,Winged Beast , Effect,None,None,Unclassified, Condition, Trigger, Trigger,,,,,,, Unlimited 
3786,Judgment of the Light,JOTL-EN070,Common,Reverse Glasses,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3787,Labyrinth of Nightmare,LON-085,Rare,Destruction Punch,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3788,Ignition Assault,IGAS-EN068,Common,Double-Edged Sword,Spell,nan,,None,,None,Equip,nan,None,None,None,Unclassified, Continuous-like, Trigger-like,,,,,,,, Unlimited 
3789,Blazing Vortex,BLVO-EN002,Ultra Rare,Armed Dragon Thunder LV7,Monster,WIND,2800,1000,7.0,None,nan,Dragon , Effect,None,None,Unclassified, Condition, Ignition, Trigger,,,,,,, Unlimited 
3790,Shadow Specters,SHSP-EN019,Common,Ghostrick Yuki-onna,Monster,DARK,1000,800,2.0,None,nan,Spellcaster , Effect,None,None,Summoning condition, Ignition, Trigger,,,,,,,, Unlimited 
3791,Order of Chaos,ORCS-EN002,Common,Darklon,Monster,DARK,100,100,1.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3792,Battle of Chaos,BACH-EN022,Common,Kaiza the Hidden Star,Monster,EARTH,1000,2100,5.0,None,nan,Warrior , Effect,None,None,Unclassified, Condition, Ignition, Condition,,,,,,, Unlimited 
3793,Judgment of the Light,JOTL-EN044,Rare,Underworld Fighter Balmung,Monster,DARK,2100,800,4.0,None,nan,Warrior , Synchro , Effect,None,Trigger,,,,,,,,,, Unlimited 
3794,Ancient Prophecy,ANPR-EN091,Secret Rare,Armityle the Chaos Phantasm,Monster,DARK,0,0,12.0,None,nan,Fiend , Fusion , Effect,None,Summoning condition, Continuous, Continuous,,,,,,,, Unlimited 
3795,Legacy of the Valiant,LVAL-EN067,Rare,Onomatopaira,Spell,nan,,None,,None,Normal,nan,None,None,None,Condition, Cost, Effect,,,,,,,, Unlimited 
3796,Invasion of Chaos,IOC-019,Common,Inferno,Monster,FIRE,1100,1900,4.0,None,nan,Pyro , Effect,None,None,Summoning condition, Summoning condition, Trigger,,,,,,,, Unlimited 
3797,Legend of Blue Eyes White Dragon,LOB-054,Common,Red Medicine,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3798,Ghosts From the Past: The 2nd Haunting,GFP2-EN173,Ultra Rare,Cynet Conflict,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
3799,Secrets of Eternity,SECE-EN037,Super Rare,Lightning Rod Lord,Monster,LIGHT,1800,100,4.0,None,nan,Thunder , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
3800,Invasion: Vengeance,INOV-EN096,Common,Paleozoic Dinomischus,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
3801,Secrets of Eternity,SECE-EN011,Common,Raidraptor - Vanishing Lanius,Monster,DARK,1300,1600,4.0,None,nan,Winged Beast , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3802,Light of Destruction,LODT-EN004,Common,Destiny HERO - Dread Servant,Monster,DARK,400,700,3.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
3803,Circuit Break,CIBR-EN026,Rare,Metaphys Tyrant Dragon,Monster,LIGHT,2900,2500,8.0,None,nan,Wyrm , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
3804,Dimension of Chaos,DOCS-EN022,Super Rare,Beginning Knight,Monster,LIGHT,500,2000,4.0,None,nan,Warrior , Effect,None,None,Unclassified, Condition, Ignition, Trigger, Trigger, Condition,,,,, Unlimited 
3805,Battle of Chaos,BACH-EN079,Common,Imprudent Intrusion,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3806,Rise of Destiny,RDS-EN047,Common,Lighten the Load,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like,,,,,,,,,, Unlimited 
3807,Storm of Ragnarok,STOR-EN051,Super Rare,Temple of the Six,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
3808,Cybernetic Horizon,CYHO-EN082,Secret Rare,Danger! Bigfoot!,Monster,DARK,3000,0,8.0,None,nan,Beast , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
3809,Shining Victories,SHVI-EN046,Rare,Lunalight Cat Dancer,Monster,DARK,2400,2000,7.0,None,nan,Beast-Warrior , Fusion , Effect,None,Continuous, Ignition, Trigger,,,,,,,, Unlimited 
3810,Crimson Crisis,CRMS-EN029,Common,Flip Flop Frog,Monster,WATER,500,200,2.0,None,nan,Aqua , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
3811,Ghosts From the Past: The 2nd Haunting,GFP2-EN062,Ultra Rare,Inzektor Hornet,Monster,DARK,500,200,3.0,None,nan,Insect , Effect,None,None,Ignition, Continuous-like, Ignition-like,,,,,,,, Unlimited 
3812,Soul of the Duelist,SOD-EN034,Rare,Ojama King,Monster,LIGHT,0,3000,6.0,None,nan,Beast , Fusion , Effect,None,Continuous,,,,,,,,,, Unlimited 
3813,Enemy of Justice,EOJ-EN029,Common,Storming Wynn,Monster,WIND,800,1500,4.0,None,nan,Spellcaster , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3814,Duelist Alliance,DUEA-EN099,Common,Pilgrim Reaper,Monster,DARK,?,?,6.0,None,nan,Zombie , Xyz , Effect,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
3815,Galactic Overlord,GAOV-EN049,Super Rare,Queen Dragun Djinn,Monster,DARK,2200,1200,4.0,None,nan,Dragon , Xyz , Effect,None,Continuous, Ignition,,,,,,,,, Unlimited 
3816,Dawn of Majesty,DAMA-EN073,Common,Magikey Unlocking,Trap,nan,,None,,None,Counter,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3817,Maximum Crisis ,MACR-EN048,Ultra Rare,Zoodiac Chakanine,Monster,EARTH,?,?,4.0,None,nan,Beast-Warrior , Xyz , Effect,None,Summoning condition, Continuous, Ignition,,,,,,,, Unlimited 
3818,Code of the Duelist,COTD-EN085,Secret Rare,Vendread Reorigin,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Lingering,,,,,,,,, Unlimited 
3819,Ancient Sanctuary,AST-073,Short Print,Elephant Statue of Blessing,Monster,EARTH,1500,0,3.0,None,nan,Rock , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3820,Duelist Revolution,DREV-EN046,Common,Double Cyclone,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3821,Crossed Souls,CROS-EN069,Common,Designer Frightfur,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3822,Force of the Breaker,FOTB-EN020,Rare,Harpie Queen,Monster,WIND,1900,1200,4.0,None,nan,Winged Beast , Effect,None,None,Unclassified, Ignition,,,,,,,,, Unlimited 
3823,Tactical Evolution,TAEV-EN041,Rare,Elemental HERO Marine Neos,Monster,WATER,2800,2300,8.0,None,nan,Warrior , Fusion , Effect,None,Summoning condition, Ignition,,,,,,,,, Unlimited 
3824,Power of the Duelist,POTD-EN051,Common,Crop Circles,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
3825,Legendary Duelists: Synchro Storm,LED8-EN055,Common,Tornado Dragon,Monster,WIND,2100,2000,4.0,None,nan,Wyrm , Xyz , Effect,None,Quick,,,,,,,,,, Unlimited 
3826,Shadow Specters,SHSP-EN061,Common,Dragon Shield,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like, Continuous-like,,,,,,,, Unlimited 
3827,The Duelist Genesis,TDGS-EN065,Rare,Defense Draw,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3828,Burst of Destiny,BODE-EN089,Ultra Rare,Beetrooper Descent,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3829,Pharaonic Guardian,PGD-029,Ultra Rare,Don Zaloog,Monster,DARK,1400,1500,4.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3830,Primal Origin,PRIO-EN040,Ultra Rare,Number 62: Galaxy-Eyes Prime Photon Dragon,Monster,LIGHT,4000,3000,8.0,None,nan,Dragon , Xyz , Effect,None,Quick, Trigger, Continuous,,,,,,,, Unlimited 
3831,Ghosts From the Past: The 2nd Haunting,GFP2-EN003,Ultra Rare,Elemental HERO Neos Kluger,Monster,LIGHT,3000,2500,9.0,None,nan,Spellcaster , Fusion , Effect,None,Summoning condition, Trigger, Trigger, Condition,,,,,,, Unlimited 
3832,Rising Rampage,RIRA-EN067,Common,Draw Discharge,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
3833,Rise of the Duelist,ROTD-EN082,Common,Performapal Card Gardna,Monster,EARTH,1000,1000,3.0,None,nan,Rock , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Monster Effect, Continuous,,,,,,, Unlimited 
3834,Invasion of Chaos,IOC-098,Common,Multiplication of Ants,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect, Condition,,,,,,,, Unlimited 
3835,Breakers of Shadow,BOSH-EN026,Rare,Dinomist Pteran,Monster,WATER,1800,1200,4.0,None,nan,Machine , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Monster Effect, Trigger,,,,,,, Unlimited 
3836,Flaming Eternity,FET-EN014,Super Rare,Behemoth the King of All Animals,Monster,EARTH,2700,1500,7.0,None,nan,Beast , Effect,None,None,Unclassified, Trigger,,,,,,,,, Unlimited 
3837,Abyss Rising,ABYR-EN072,Ultra Rare,Abyss-sphere,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Continuous-like, Condition,,,,,,, Unlimited 
3838,Return of the Duelist,REDU-EN092,Secret Rare,Number 6: Chronomaly Atlandis,Monster,LIGHT,2600,3000,6.0,None,nan,Machine , Xyz , Effect,None,Trigger, Continuous, Ignition, Condition,,,,,,, Unlimited 
3839,Ghosts From the Past: The 2nd Haunting,GFP2-EN138,Ultra Rare,Crimson Knight Vampire Bram,Monster,DARK,2500,0,5.0,None,nan,Zombie , Xyz , Effect,None,Ignition, Condition, Trigger,,,,,,,, Unlimited 
3840,Breakers of Shadow,BOSH-EN024,Common,Dinomist Stegosaur,Monster,WATER,1600,1800,4.0,None,nan,Machine , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Monster Effect, Trigger,,,,,,, Unlimited 
3841,Code of the Duelist,COTD-EN029,Secret Rare,Rescue Ferret,Monster,EARTH,300,100,4.0,None,nan,Beast , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
3842,Primal Origin,PRIO-EN036,Rare,Beautunaful Princess,Monster,WATER,0,0,1.0,None,nan,Fish , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3843,Enemy of Justice,EOJ-EN003,Rare,Destiny HERO - Diamond Dude,Monster,DARK,1400,1600,4.0,None,nan,Warrior , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
3844,Chaos Impact,CHIM-EN047,Super Rare,Galaxy Satellite Dragon,Monster,DARK,2000,None,,2,nan,Dragon , Link , Effect,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
3845,Raging Battle,RGBT-EN041,Super Rare,Blackwing Armed Wing,Monster,DARK,2300,1000,6.0,None,nan,Winged Beast , Synchro , Effect,None,Continuous,,,,,,,,,, Unlimited 
3846,Dimension Force,DIFO-EN070,Super Rare,Therion Cross,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3847,Flames of Destruction,FLOD-EN031,Common,Yajiro Invader,Monster,DARK,2200,0,5.0,None,nan,Reptile , Effect,None,None,Continuous, Ignition, Trigger,,,,,,,, Unlimited 
3848,Cosmo Blazer,CBLZ-EN049,Rare,Hazy Flame Basiltrice,Monster,FIRE,2500,1800,6.0,None,nan,Pyro , Xyz , Effect,None,Ignition, Condition, Continuous, Continuous, Continuous,,,,,, Unlimited 
3849,Crossed Souls,CROS-EN083,Rare,"Barbar, Malebranche of the Burning Abyss",Monster,DARK,1700,1000,3.0,None,nan,Fiend , Effect,None,None,Continuous, Condition, Ignition, Trigger,,,,,,, Unlimited 
3850,Burst of Destiny,BODE-EN064,Common,Sonic Tracker,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
3851,Dimension Force,DIFO-EN012,Ultra Rare,Scareclaw Reichheart,Monster,DARK,1500,2100,4.0,None,nan,Warrior , Effect,None,None,Unclassified, Condition, Trigger, Condition,,,,,,, Unlimited 
3852,Ghosts From the Past: The 2nd Haunting,GFP2-EN139,Ultra Rare,Ghostrick Dullahan,Monster,DARK,1000,0,1.0,None,nan,Fiend , Xyz , Effect,None,Continuous, Quick, Trigger,,,,,,,, Unlimited 
3853,Duelist Alliance,DUEA-EN053,Secret Rare,Stellarknight Delteros,Monster,LIGHT,2500,2100,4.0,None,nan,Warrior , Xyz , Effect,None,Continuous, Ignition, Trigger,,,,,,,, Unlimited 
3854,Dimension of Chaos,DOCS-EN007,Common,Superheavy Samurai Soulhorns,Monster,EARTH,0,300,1.0,None,nan,Machine , Effect,None,None,Ignition, Continuous-like, Ignition-like, Condition,,,,,,, Unlimited 
3855,Ghosts From the Past: The 2nd Haunting,GFP2-EN109,Ultra Rare,Cipher Twin Raptor,Monster,LIGHT,1600,800,4.0,None,nan,Machine , Effect,None,None,Unclassified, Ignition, Condition,,,,,,,, Unlimited 
3856,Pharaonic Guardian,PGD-088,Common,Terraforming,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Limited 
3857,Enemy of Justice,EOJ-EN037,Common,Misfortune,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3858,Blazing Vortex,BLVO-EN003,Super Rare,Armed Dragon Thunder LV5,Monster,WIND,2400,1700,5.0,None,nan,Dragon , Effect,None,None,Unclassified, Condition, Ignition, Trigger,,,,,,, Unlimited 
3859,Secrets of Eternity,SECE-EN003,Common,Performapal Friendonkey,Monster,EARTH,1600,600,3.0,None,nan,Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3860,Extreme Force,EXFO-EN048,Secret Rare,Saryuja Skull Dread,Monster,EARTH,2800,None,,4,nan,Dragon , Link , Effect,None,Condition, Trigger, Ignition, Trigger,,,,,,, Unlimited 
3861,Light of Destruction,LODT-EN044,Super Rare,Gladiator Beast Gyzarus,Monster,DARK,2400,1500,6.0,None,nan,Winged Beast , Fusion , Effect,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
3862,Cyberdark Impact,CDIP-EN053,Common,Chain Healing,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3863,Invasion: Vengeance,INOV-EN057,Common,Crystolic Potential,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
3864,Ghosts From the Past: The 2nd Haunting,GFP2-EN174,Ultra Rare,Fists of the Unrivaled Tenyi,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect, Trigger-like,,,,,,,, Unlimited 
3865,Absolute Powerforce,ABPF-EN010,Rare,Dark Bug,Monster,DARK,100,100,1.0,None,nan,Insect , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3866,Eternity Code,ETCO-EN042,Ultra Rare,Deep Sea Prima Donna,Monster,WATER,1500,2700,7.0,None,nan,Sea Serpent , Synchro , Tuner , Effect,Unclassified, Condition, Ignition, Trigger,,,,,,, Unlimited 
3867,Shining Victories,SHVI-EN065,Super Rare,Pre-Preparation of Rites,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3868,Generation Force,GENF-EN051,Super Rare,Infected Mail,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like,,,,,,,,,, Unlimited 
3869,Secrets of Eternity,SECE-EN002,Common,Performapal Partnaga,Monster,EARTH,500,2100,5.0,None,nan,Reptile , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Monster Effect, Trigger, Continuous,,,,,, Unlimited 
3870,Cybernetic Revolution,CRV-EN034,Ultra Rare,UFOroid Fighter,Monster,LIGHT,?,?,10.0,None,nan,Machine , Fusion , Effect,None,Summoning condition, Continuous,,,,,,,,, Unlimited 
3871,Code of the Duelist,COTD-EN079,Rare,Blind Obliteration,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3872,Starstrike Blast,STBL-EN070,Common,Half Counter,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3873,Metal Raiders,MRD-121,Rare,Witch's Apprentice,Monster,DARK,550,500,2.0,None,nan,Spellcaster , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
3874,Phantom Darkness,PTDN-EN073,Common,Gemini Trap Hole,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3875,Burst of Destiny,BODE-EN043,Super Rare,Reptilianne Melusine,Monster,DARK,2500,2800,8.0,None,nan,Reptile , Synchro , Effect,None,Continuous, Quick, Trigger,,,,,,,, Unlimited 
3876,Duelist Revolution,DREV-EN018,Rare,Hypnocorn,Monster,DARK,1400,600,4.0,None,nan,Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3877,Duelist Alliance,DUEA-EN075,Common,Yang Zing Unleashed,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Quick-like,,,,,,,,, Unlimited 
3878,Battle of Chaos,BACH-EN093,Common,Doll Monster Miss Mädchen,Monster,LIGHT,0,0,4.0,None,nan,Fairy , Normal,None,None,nan,,,,,,,,,, Unlimited 
3879,Savage Strike,SAST-EN035,Super Rare,Elemental HERO Brave Neos,Monster,LIGHT,2500,2000,7.0,None,nan,Warrior , Fusion , Effect,None,Summoning condition, Continuous, Trigger,,,,,,,, Unlimited 
3880,Abyss Rising,ABYR-EN004,Common,Mogmole,Monster,EARTH,800,800,2.0,None,nan,Beast , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3881,The Lost Millennium,TLM-EN050,Common,Pikeru's Second Sight,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3882,Metal Raiders,MRD-058,Common,Soul Release,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3883,Breakers of Shadow,BOSH-EN035,Common,Dark Doriado,Monster,DARK,1800,1400,4.0,None,nan,Spellcaster , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Monster Effect, Trigger,,,,,,, Unlimited 
3884,Primal Origin,PRIO-EN010,Common,Umbral Horror Ghost,Monster,DARK,200,200,2.0,None,nan,Fiend , Effect,None,None,Ignition, Condition, Condition,,,,,,,, Unlimited 
3885,Stardust Overdrive,SOVR-EN088,Rare,Reptilianne Poison,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3886,Shining Victories,SHVI-EN058,Rare,Rank-Up-Magic Skip Force,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Ignition-like,,,,,,,,, Unlimited 
3887,The Shining Darkness,TSHD-EN049,Ultra Rare,Into the Void,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Limited 
3888,Spell Ruler,MRL-043,Rare,Rush Recklessly,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3889,Crimson Crisis,CRMS-EN050,Common,Morphtronic Map,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Trigger-like,,,,,,,, Unlimited 
3890,Labyrinth of Nightmare,LON-052,Common,The Portrait's Secret,Monster,EARTH,1200,1500,4.0,None,nan,Fiend,None,None,None,nan,,,,,,,,,, Unlimited 
3891,Force of the Breaker,FOTB-EN032,Common,Crystal Beacon,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3892,Savage Strike,SAST-EN070,Common,Summon Over,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Trigger-like,,,,,,,, Unlimited 
3893,Ancient Sanctuary,AST-067,Super Rare,Legacy Hunter,Monster,EARTH,1000,1500,4.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3894,Cybernetic Horizon,CYHO-EN041,Super Rare,Vorticular Drumgon,Monster,DARK,1000,None,,3,nan,Dragon , Link , Effect,None,Trigger, Condition, Continuous,,,,,,,, Unlimited 
3895,Crimson Crisis,CRMS-EN081,Secret Rare,Dark Voltanis,Monster,DARK,2800,1400,8.0,None,nan,Fairy , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
3896,Magician's Force,MFC-032,Common,Autonomous Action Unit,Spell,nan,,None,,None,Equip,nan,None,None,None,Cost, Activation requirement, Effect, Continuous-like,,,,,,, Unlimited 
3897,Gladiator's Assault,GLAS-EN050,Common,Lucky Cloud,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3898,Cybernetic Horizon,CYHO-EN085,Ultra Rare,Danger!? Jackalope?,Monster,DARK,500,2000,3.0,None,nan,Beast , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Limited 
3899,Phantom Darkness,PTDN-EN039,Common,Magnetic Mosquito,Monster,LIGHT,300,1000,3.0,None,nan,Insect , Effect,None,None,Flip,,,,,,,,,, Unlimited 
3900,The Shining Darkness,TSHD-EN055,Rare,Electromagnetic Shield,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
3901,Maximum Crisis ,MACR-EN056,Rare,"Pacifis, the Phantasm City",Spell,nan,,None,,None,Field,nan,None,None,None,Condition, Condition, Trigger-like, Trigger-like,,,,,,, Unlimited 
3902,Legendary Duelists: Synchro Storm,LED8-EN041,Rare,Lyrilusc - Phantom Feathers,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
3903,Cybernetic Horizon,CYHO-EN021,Super Rare,Mana Dragon Zirnitron,Monster,DARK,2200,1200,6.0,None,nan,Dragon , Effect,None,None,Trigger, Condition, Lingering,,,,,,,, Unlimited 
3904,Metal Raiders,MRD-009,Super Rare,Harpie Lady Sisters,Monster,WIND,1950,2100,6.0,None,nan,Winged Beast , Effect,None,None,Summoning condition, Summoning condition,,,,,,,,, Unlimited 
